sequence_id,sequence_label,adc_samples,tool_key,tool_label,run,total_ms,total_seconds,median_seconds,q1_seconds,q3_seconds,status,error_type,error_message
writeGRE_live_demo,writeGRE_live_demo,16384,matlab,Pulseq MATLAB,4,1039.2418333333333,1.0392418333333333,1.0392418333333333,1.0320152916666667,1.046070625,complete,,
writeGRE_live_demo,writeGRE_live_demo,16384,matlab,Pulseq MATLAB,5,1046.070625,1.046070625,1.0392418333333333,1.0320152916666667,1.046070625,complete,,
writeGRE_live_demo,writeGRE_live_demo,16384,pypulseq,PyPulseq,1,546.1450833827257,0.5461450833827257,0.520675000268966,0.519065999891609,0.5273921247571707,complete,,
writeGRE_live_demo,writeGRE_live_demo,16384,pypulseq,PyPulseq,2,527.3921247571707,0.5273921247571707,0.520675000268966,0.519065999891609,0.5273921247571707,complete,,
writeGRE_live_demo,writeGRE_live_demo,16384,pypulseq,PyPulseq,3,520.675000268966,0.520675000268966,0.520675000268966,0.519065999891609,0.5273921247571707,complete,,
writeGRE_live_demo,writeGRE_live_demo,16384,pypulseq,PyPulseq,4,519.065999891609,0.519065999891609,0.520675000268966,0.519065999891609,0.5273921247571707,complete,,
writeGRE_live_demo,writeGRE_live_demo,16384,pypulseq,PyPulseq,5,518.1633327156305,0.5181633327156305,0.520675000268966,0.519065999891609,0.5273921247571707,complete,,
writeGRE_live_demo_step0,writeGRE_live_demo_step0,16384,seqeyes,SeqEyes-Plus,1,194.19999980926514,0.19419999980926514,0.17940000009536744,0.1665,0.17960000038146973,complete,,
writeGRE_live_demo_step0,writeGRE_live_demo_step0,16384,seqeyes,SeqEyes-Plus,2,166.5,0.1665,0.17940000009536744,0.1665,0.17960000038146973,complete,,
writeGRE_live_demo_step0,writeGRE_live_demo_step0,16384,seqeyes,SeqEyes-Plus,3,150.7999997138977,0.1507999997138977,0.17940000009536744,0.1665,0.17960000038146973,complete,,
writeGRE_live_demo_step0,writeGRE_live_demo_step0,16384,seqeyes,SeqEyes-Plus,4,179.40000009536743,0.17940000009536744,0.17940000009536744,0.1665,0.17960000038146973,complete,,
writeGRE_live_demo_step0,writeGRE_live_demo_step0,16384,seqeyes,SeqEyes-Plus,5,179.60000038146973,0.17960000038146973,0.17940000009536744,0.1665,0.17960000038146973,complete,,
